1	6	21	C
2	4	21	D
3	8	21	A
4	1	21	C
5	5	21	D
6	9	21	F
7	6	22	C
8	4	22	D
9	8	22	A
10	1	22	C
11	5	22	D
12	9	22	F
13	6	181	C
14	4	181	D
15	8	181	A
16	1	181	C
17	5	181	D
18	9	181	F
19	6	192	C
20	4	192	D
21	8	192	A
22	1	192	C
23	5	192	D
24	9	192	F
25	6	203	C
26	4	203	D
27	8	203	A
28	1	203	C
29	5	203	D
30	9	203	F
31	6	210	C
32	4	210	D
33	8	210	A
34	1	210	C
35	5	210	D
36	9	210	F
37	6	255	C
38	4	255	D
39	8	255	A
40	1	255	C
41	5	255	D
42	9	255	F
43	6	256	C
44	4	256	D
45	8	256	A
46	1	256	C
47	5	256	D
48	9	256	F
49	6	266	C
50	4	266	D
51	8	266	A
52	1	266	C
53	5	266	D
54	9	266	F
55	6	273	C
56	4	273	D
57	8	273	A
58	1	273	C
59	5	273	D
60	9	273	F
61	6	290	C
62	4	290	D
63	8	290	A
64	1	290	C
65	5	290	D
66	9	290	F
67	6	295	C
68	4	295	D
69	8	295	A
70	1	295	C
71	5	295	D
72	9	295	F
73	16	20	C
74	14	20	D
75	18	20	A
76	11	20	C
77	15	20	D
78	19	20	F
79	16	23	C
80	14	23	D
81	18	23	A
82	11	23	C
83	15	23	D
84	19	23	F
85	16	24	C
86	14	24	D
87	18	24	A
88	11	24	C
89	15	24	D
90	19	24	F
91	16	182	C
92	14	182	D
93	18	182	A
94	11	182	C
95	15	182	D
96	19	182	F
97	16	195	C
98	14	195	D
99	18	195	A
100	11	195	C
101	15	195	D
102	19	195	F
103	16	215	C
104	14	215	D
105	18	215	A
106	11	215	C
107	15	215	D
108	19	215	F
109	16	250	C
110	14	250	D
111	18	250	A
112	11	250	C
113	15	250	D
114	19	250	F
115	16	261	C
116	14	261	D
117	18	261	A
118	11	261	C
119	15	261	D
120	19	261	F
121	16	288	C
122	14	288	D
123	18	288	A
124	11	288	C
125	15	288	D
126	19	288	F
127	16	293	C
128	14	293	D
129	18	293	A
130	11	293	C
131	15	293	D
132	19	293	F
133	26	25	C
134	24	25	D
135	28	25	A
136	21	25	C
137	25	25	D
138	29	25	F
139	26	26	C
140	24	26	D
141	28	26	A
142	21	26	C
143	25	26	D
144	29	26	F
145	26	43	C
146	24	43	D
147	28	43	A
148	21	43	C
149	25	43	D
150	29	43	F
151	26	193	C
152	24	193	D
153	28	193	A
154	21	193	C
155	25	193	D
156	29	193	F
157	26	204	C
158	24	204	D
159	28	204	A
160	21	204	C
161	25	204	D
162	29	204	F
163	26	217	C
164	24	217	D
165	28	217	A
166	21	217	C
167	25	217	D
168	29	217	F
169	26	224	C
170	24	224	D
171	28	224	A
172	21	224	C
173	25	224	D
174	29	224	F
175	26	234	C
176	24	234	D
177	28	234	A
178	21	234	C
179	25	234	D
180	29	234	F
181	26	245	C
182	24	245	D
